participant id,event date,event name,event type,time,category
0,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:53:44,m50-54
1,2016-08-21,ironman 70.3 timberman,individual,04:59:33,m40-44
1,2016-07-31,trimemphré magog,triathlon sprint,01:15:04,m40-44
1,2016-06-27,ironman 70.3 mont-tremblant,individuel,05:24:08,m40-44
1,2016-06-05,triathlon challenge antoine-manseau joliette,triathlon sprint ag coupe du québec,01:12:04,m40-44
1,2016-04-24,banque scotia 21k de montreal,demi marathon,-1,m40-44
1,2015-07-26,trimemphré magog,triathlon sprint,01:19:08,m40-44
1,2015-06-27,demi-marathon de sherbrooke,5 km,00:17:39,m40-49
1,2015-04-26,banque scotia 21k de montreal,5 km,00:19:17,m40-44
1,2014-06-28,demi marathon de sherbrooke,5 km,00:31:41,m30-39
1,2014-04-27,banque scotia 21km et 5km,21 km,-1,m35-39
1,2013-09-22,marathon oasis de montreal,marathon,03:17:46,m35-39
1,2013-06-29,demi marathon de sherbrooke,demi-marathon,01:30:10,m30-39
1,2013-05-26,ottawa race weekend,ottawa half-marathon - demi-marathon,-1,m35-39
1,2012-06-30,demi marathon de sherbrooke,demi marathon,01:49:14,m30-39
1,2012-05-27,ottawa race weekend,half marathon,01:40:08,m35-39
2,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:11:49,m40-44
2,2015-08-23,demi-marathon bonneville de lachine,21.1 km,01:30:29,m40-49
2,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,03:23:39,m40-44
2,2013-09-22,marathon oasis de montreal,marathon,03:19:46,m40-44
2,2012-09-23,marathon oasis de montreal,marathon,03:33:20,m40-44
3,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:16:00,m15-17
4,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:49:56,f30-34
5,2015-09-20,marathon oasis rock 'n' roll de montreal,1 km - p'tit marathon,00:04:59,m13+
6,2013-09-22,marathon oasis de montreal,marathon,04:16:09,f25-29
7,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:17:03,m30-34
7,2015-08-23,demi-marathon bonneville de lachine,21.1 km,-1,m30-39
8,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,06:01:00,f30-34
9,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:59:11,f35-39
10,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:24:51,m35-39
11,2015-05-24,tamarack ottawa race weekend,ottawa half marathon,-1,m35-39
11,2014-09-28,marathon oasis rock ‘n’ roll de montréal,p'tit marathon 1 km tel-jeunes,00:07:51,m13+
11,2013-09-22,marathon oasis de montreal,1km p'tit marathon,00:09:04,m13+
11,2012-09-23,marathon oasis de montreal,marathon,03:22:51,m30-34
12,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,05:04:08,m45-49
13,2013-09-22,marathon oasis de montreal,marathon,04:14:51,m50-54
14,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,05:02:27,f25-29
15,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:22:34,m45-49
16,2013-09-22,marathon oasis de montreal,marathon,03:55:08,f30-34
17,2014-08-24,demi-marathon bonneville de lachine,demi-marathon,01:57:50,m30-39
17,2014-02-16,demi marathon hypothermique,demi-marathon,02:16:15,m30-39
17,2013-11-03,oka road race,half marathon,01:55:30,m30-39
17,2013-09-22,marathon oasis de montreal,1km p'tit marathon,00:08:26,m13+
17,2013-05-26,ottawa race weekend,ottawa marathon,-1,m35-39
17,2013-04-28,banque scotia 21km et 5km,21 km,02:12:53,m35-39
17,2013-02-17,demi marathon hypothermique,demi-marathon,02:03:09,m30-39
17,2012-09-23,marathon oasis de montreal,marathon,04:36:14,m35-39
17,2012-04-29,banque scotia 21km et 5km,21.1 km,02:17:16,m35-39
18,2014-09-28,marathon oasis rock ‘n’ roll de montréal,demi-marathon,02:34:17,f35-39
18,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa half marathon,-1,f25-29
18,2014-05-24,tamarack ottawa race weekend,htg sports 5k,-1,f35-39
18,2013-09-22,marathon oasis de montreal,marathon,04:14:04,f25-29
18,2013-05-05,goodlife toronto marathon. half marathon. and 5k,half marathon,02:10:52,f25-29
18,2012-09-23,marathon oasis de montreal,demi-marathon,02:00:14,f25-29
18,2012-06-02,course des iles,21 km,02:02:09,m20-29
18,2012-04-29,course printaniere oka,10 km,00:54:38,f20-29
19,2015-09-20,marathon oasis rock 'n' roll de montreal,10 km,01:52:28,f40-44
20,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:48:37,m40-44
21,2013-09-22,marathon oasis de montreal,marathon,04:32:47,m50-54
22,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa marathon,-1,f25-29
22,2013-09-22,marathon oasis de montreal,marathon,04:04:29,f25-29
22,2013-05-12,au rythme de nos foulées châteauguay,demi-marathon,01:44:22,f20-29
23,2015-11-08,demi-marathon des microbrasseries,10 km,01:11:43,f30-39
23,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,02:08:05,f35-39
23,2014-11-02,course d'oka race,21.1 km,02:06:28,f30-39
23,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,05:56:53,f35-39
23,2013-11-03,oka road race,10 km,00:56:45,f30-39
24,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:24:55,m40-44
25,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:49:20,f50-54
25,2015-05-31,course d’été des îles de boucherville,10km course,00:52:17,f50-59
25,2014-09-21,la course de fontainebleau,10 km,00:54:06,f50+
25,2014-09-21,la course de fontainebleau,5 km course,00:26:58,f50+
25,2014-08-24,la valse des coureurs,10 km,00:55:44,f50-59
25,2014-06-01,course d'ete des iles de boucherville,10 km (course),00:54:00,f50-59
26,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:46:43,m45-49
27,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:51:24,m45-49
28,2012-09-23,marathon oasis de montreal,marathon,03:30:40,m40-44
29,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:28:02,m45-49
30,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,03:17:01,f30-34
31,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,03:32:39,m18-24
32,2016-08-17,le 5km endurance,5 km,00:23:00,f50-59
32,2015-09-20,marathon oasis rock 'n' roll de montreal,10 km,00:47:22,f55-59
33,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,06:31:22,m40-44
34,2015-10-18,scotiabank toronto waterfront marathon,half marathon,-1,m35-39
34,2015-09-20,army run - course de l'armée,1/2 marathon - demi-marathon,01:44:01,m35-39
34,2015-05-24,tamarack ottawa race weekend,ottawa marathon,-1,m35-39
34,2015-04-26,banque scotia 21k de montreal,demi marathon,01:43:15,m35-39
34,2014-10-19,scotiabank toronto waterfront marathon,marathon,03:51:14,m35-39
34,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:02:09,m35-39
34,2014-06-08,la grande viree des sentiers st-bruno,20 km,01:40:58,m30-39
34,2014-04-27,banque scotia 21km et 5km,21 km,01:43:09,m35-39
35,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,03:00:05,m40-44
36,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,-1,m40-44
37,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:46:16,m30-34
38,2016-05-01,défi course et marche desjardins sainte thérèse,10 km,01:05:46,m40-49
38,2015-09-20,marathon oasis rock 'n' roll de montreal,demi-marathon,01:58:28,m40-44
38,2015-08-02,course mec montréal #6,5 km,00:25:46,m40-49
38,2015-06-07,course mec montréal #4,5 km,00:32:05,m20-29
39,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,05:44:51,f40-44
40,2016-07-10,ironman 70.3 muskoka,overall,05:24:59,m30-34
40,2016-06-27,ironman 70.3 mont-tremblant,individuel,05:16:12,m30-34
40,2015-08-30,ironman muskoka,ironman,11:48:19,m30-34
40,2015-07-26,ironman canada,individual,11:48:33,m30-34
40,2015-06-21,ironman 70.3 mont-tremblant,individuel,04:58:25,m30-34
40,2015-05-24,tamarack ottawa race weekend,ottawa half marathon,-1,m30-34
40,2014-08-17,ironman mont-tremblant,resultats,11:20:10,m30-34
40,2014-06-22,ironman mont-tremblant 70.3,overall,05:12:30,m30-34
40,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa half marathon,-1,m30-34
40,2013-09-22,marathon oasis de montreal,marathon,03:42:52,m30-34
40,2013-09-08,ironman 70.3 muskoka,overall results,05:51:48,m30-34
40,2013-08-03,national capital triathlon duathlon and relays,olympic triathlon,02:42:40,m30-34
40,2013-05-26,ottawa race weekend,ottawa half-marathon - demi-marathon,-1,m30-34
40,2013-05-18,ottawa early bird triathlon and duathlon,sprint triathlon,01:26:48,m30-34
40,2012-05-27,ottawa race weekend,half marathon,01:41:20,m30-34
41,2012-09-23,marathon oasis de montreal,marathon,04:24:50,m30-34
42,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,04:26:50,m40-44
43,2014-09-28,marathon oasis rock ‘n’ roll de montréal,marathon,03:45:55,m25-29
43,2013-06-15,mud hero montreal,6km,00:35:31,m20-24
44,2013-09-22,marathon oasis de montreal,marathon,04:55:33,m45-49
45,2015-09-20,marathon oasis rock 'n' roll de montreal,marathon,04:21:33,m45-49
46,2016-04-24,banque scotia 21k de montreal,demi marathon,-1,f50-54
46,2015-09-27,la course de fontainebleau,10 km,00:54:34,f50-59
46,2015-08-12,le 5km endurance,5 km,00:27:26,f50-59
46,2015-05-24,tamarack ottawa race weekend,ottawa marathon,-1,f50-54
46,2015-03-29,course et marche populaires de lasalle,5 km,00:26:28,f50-59
46,2014-10-19,classique du parc la fontaine,5 km,00:27:58,f50-59
46,2014-08-24,la valse des coureurs,10 km,00:59:15,f50-59
46,2014-08-13,le 5km endurance,5 km,00:27:25,f50-59
46,2014-05-25,tamarack ottawa race weekend,scotiabank ottawa marathon,-1,f50-54
46,2014-04-27,banque scotia 21km et 5km,21 km,02:07:08,f50-54
46,2014-03-30,course et marche populaires de lasalle,10 km,00:59:14,f50-59
46,2013-09-29,un pas vers l'espoir,10 km,01:03:43,f50+
46,2013-09-22,marathon oasis de montreal,marathon,04:34:25,f50-54
