participant id,gender,age,min age,max age
0,M,53.0,51.0,55.0
1,M,41.0,41.0,41.0
2,M,44.5,44.0,45.0
3,M,17.0,16.0,18.0
4,F,33.0,31.0,35.0
5,M,,14.0,
6,F,30.0,28.0,32.0
7,M,33.0,31.0,35.0
8,F,33.0,31.0,35.0
9,F,38.0,36.0,40.0
10,M,38.0,36.0,40.0
11,M,37.0,36.0,38.0
12,M,48.0,46.0,50.0
13,M,55.0,53.0,57.0
14,F,28.0,26.0,30.0
15,M,48.0,46.0,50.0
16,F,35.0,33.0,37.0
17,M,40.0,39.0,41.0
18,MF,34.0,37.0,31.0
19,F,43.0,41.0,45.0
20,M,43.0,41.0,45.0
21,M,55.0,53.0,57.0
22,F,29.5,28.0,31.0
23,F,37.5,36.0,39.0
24,M,43.0,41.0,45.0
25,F,53.5,52.0,55.0
26,M,48.0,46.0,50.0
27,M,48.0,46.0,50.0
28,M,46.0,44.0,48.0
29,M,48.0,46.0,50.0
30,F,33.0,31.0,35.0
31,M,22.0,19.0,25.0
32,F,57.5,56.0,59.0
33,M,43.0,41.0,45.0
34,M,38.0,37.0,39.0
35,M,43.0,41.0,45.0
36,M,43.0,41.0,45.0
37,M,33.0,31.0,35.0
38,M,35.5,41.0,30.0
39,F,43.0,41.0,45.0
40,M,34.0,34.0,34.0
41,M,36.0,34.0,38.0
42,M,43.0,41.0,45.0
43,M,26.5,26.0,27.0
44,M,50.0,48.0,52.0
45,M,48.0,46.0,50.0
46,F,53.5,53.0,54.0
47,F,33.0,31.0,35.0
48,M,64.0,63.0,65.0
49,M,43.0,41.0,45.0
50,M,48.0,46.0,50.0
51,F,28.0,26.0,30.0
52,M,30.5,29.0,32.0
53,M,34.0,34.0,34.0
54,F,38.0,36.0,40.0
55,F,33.0,31.0,35.0
56,M,31.0,30.0,32.0
57,M,33.0,31.0,35.0
58,F,28.0,26.0,30.0
59,M,28.0,26.0,30.0
60,M,36.0,34.0,38.0
61,M,29.5,29.0,30.0
62,M,43.0,41.0,45.0
63,F,33.0,31.0,35.0
64,M,40.0,39.0,41.0
65,M,51.0,52.0,50.0
66,M,50.5,51.0,50.0
67,F,22.0,19.0,25.0
68,M,50.0,48.0,52.0
69,M,36.0,34.0,38.0
70,M,28.0,26.0,30.0
71,M,43.0,41.0,45.0
72,F,38.0,36.0,40.0
73,M,43.0,41.0,45.0
74,M,28.0,26.0,30.0
75,M,38.0,36.0,40.0
76,F,38.0,36.0,40.0
77,F,53.0,51.0,55.0
78,F,38.0,36.0,40.0
79,M,53.0,51.0,55.0
80,F,53.0,51.0,55.0
81,M,34.0,33.0,35.0
82,M,53.0,51.0,55.0
83,M,43.0,41.0,45.0
84,F,30.0,29.0,31.0
85,M,53.5,52.0,55.0
86,M,33.0,31.0,35.0
87,F,38.0,36.0,40.0
88,F,38.0,36.0,40.0
89,M,33.0,31.0,35.0
90,M,43.0,41.0,45.0
91,M,43.0,41.0,45.0
92,M,49.0,48.0,50.0
93,M,56.0,54.0,58.0
94,F,43.0,41.0,45.0
95,F,35.5,36.0,35.0
96,M,56.0,56.0,56.0
97,M,38.0,36.0,40.0
98,M,46.0,44.0,48.0
99,M,37.5,36.0,39.0
100,F,46.5,46.0,47.0
101,M,22.0,19.0,25.0
102,M,50.0,48.0,52.0
103,M,34.5,34.0,35.0
104,F,49.0,48.0,50.0
105,F,28.0,28.0,28.0
106,F,24.5,24.0,25.0
107,M,51.0,49.0,53.0
108,M,28.0,26.0,30.0
109,M,53.0,51.0,55.0
110,M,22.0,19.0,25.0
111,F,35.0,33.0,37.0
112,F,28.0,26.0,30.0
113,M,38.0,36.0,40.0
114,M,47.0,47.0,47.0
115,M,38.0,36.0,40.0
116,F,60.0,58.0,62.0
117,M,41.5,41.0,42.0
118,F,22.0,19.0,25.0
119,M,53.0,51.0,55.0
120,F,33.5,32.0,35.0
121,M,36.5,40.0,33.0
122,M,31.5,31.0,32.0
123,F,50.0,48.0,52.0
124,F,48.0,46.0,50.0
125,M,40.0,38.0,42.0
126,M,35.0,33.0,37.0
127,M,59.0,58.0,60.0
128,F,22.5,22.0,23.0
129,M,48.0,47.0,49.0
130,M,36.0,34.0,38.0
131,M,35.0,33.0,37.0
132,F,55.0,54.0,56.0
133,M,30.0,28.0,32.0
134,M,55.0,53.0,57.0
135,M,28.0,26.0,30.0
136,M,,14.0,
137,M,38.0,38.0,38.0
138,M,43.0,41.0,45.0
139,M,63.0,61.0,65.0
140,F,40.5,41.0,40.0
141,M,51.0,49.0,53.0
142,F,38.0,36.0,40.0
143,M,22.0,19.0,25.0
144,M,38.0,36.0,40.0
145,M,34.5,34.0,35.0
146,M,28.0,26.0,30.0
147,M,22.0,19.0,25.0
148,M,50.5,51.0,50.0
149,M,46.0,44.0,48.0
150,M,53.0,51.0,55.0
151,M,22.0,19.0,25.0
152,F,22.0,19.0,25.0
